KO01	KO02	KO03	WT01	WT02	WT03
IL2!ENSG00000109471.4	0	0	1	0	0	0
CPE!ENSG00000109472.13	0	0	2	0	3	0
RPL34!ENSG00000109475.16	7299	5708	4053	7281	8234	8448
WFS1!ENSG00000109501.13	980	883	802	738	846	1020
ANXA10!ENSG00000109511.10	0	0	0	0	0	0
GRPEL1!ENSG00000109519.12	3536	2826	1850	2257	2583	2763
GAR1!ENSG00000109534.16	2377	1910	1053	1948	2097	2192
FRG1!ENSG00000109536.11	1429	1242	883	1135	1311	1394
CLCN3!ENSG00000109572.13	7744	5876	4104	5626	5792	5475
AADAT!ENSG00000109576.13	0	0	0	0	0	0
GALNT7!ENSG00000109586.11	1444	1050	637	1147	1333	1065
DHX15!ENSG00000109606.12	19964	16370	11383	14424	15698	15584
SOD3!ENSG00000109610.5	0	0	0	0	0	0
SEPSECS!ENSG00000109618.11	722	498	313	469	565	467
CPZ!ENSG00000109625.18	0	0	0	0	0	0
TRIM2!ENSG00000109654.14	187	149	79	221	261	181
SLC2A9!ENSG00000109667.11	119	76	60	82	96	61
FBXW7!ENSG00000109670.13	3769	3233	2315	2697	2850	2901
NEIL3!ENSG00000109674.3	1921	1630	1289	1324	1509	1553
TBC1D19!ENSG00000109680.10	264	214	119	201	211	209
CLNK!ENSG00000109684.14	7	13	3	10	14	8
WHSC1!ENSG00000109685.17	14554	11847	8282	10715	11748	11574
SH3D19!ENSG00000109686.17	28	22	22	16	18	24
STIM2!ENSG00000109689.14	9508	8883	6696	6323	7054	6973
NKX3-2!ENSG00000109705.7	8	6	9	7	13	13
MFSD10!ENSG00000109736.14	1095	1003	749	866	959	1117
GLRB!ENSG00000109738.10	0	0	0	0	0	0
BST1!ENSG00000109743.10	1	11	3	2	1	5
RAPGEF2!ENSG00000109756.8	1152	919	792	916	1029	1014
HGFAC!ENSG00000109758.8	0	1	0	0	1	2
SNX25!ENSG00000109762.15	2660	2009	1460	2306	2445	2491
LRP2BP!ENSG00000109771.15	190	153	126	173	210	178
UFSP2!ENSG00000109775.10	1661	1407	913	1418	1538	1722
KLF3!ENSG00000109787.12	64	37	36	73	86	77
KLHL5!ENSG00000109790.16	3228	2416	1587	2755	3107	2873
FAM149A!ENSG00000109794.13	82	72	48	57	81	65
NCAPG!ENSG00000109805.9	8542	6599	4463	5818	6204	6185
UGDH!ENSG00000109814.11	2169	1703	1118	1705	1877	1747
PPARGC1A!ENSG00000109819.8	1	1	1	0	0	2
DDX25!ENSG00000109832.12	2	1	1	0	0	2
CRYAB!ENSG00000109846.7	1	2	3	2	2	7
DBX1!ENSG00000109851.6	0	0	0	0	0	0
HTATIP2!ENSG00000109854.13	1647	1295	848	1156	1202	1369
CTSC!ENSG00000109861.15	4429	3586	2494	3907	4291	4280
CCDC34!ENSG00000109881.16	1819	1451	1044	1454	1664	1873
ZBTB16!ENSG00000109906.13	0	0	0	0	0	0
ELP4!ENSG00000109911.17	2480	2112	1298	1761	2136	2113
ZPR1!ENSG00000109917.10	12290	10286	8012	9179	9877	11979
MTCH2!ENSG00000109919.9	8007	6566	4743	6289	6946	7607
FNBP4!ENSG00000109920.12	7889	7215	5583	6201	6564	6468
TECTA!ENSG00000109927.9	51	46	35	34	37	16
SC5D!ENSG00000109929.9	12064	10463	5848	9577	11575	9539
CRTAM!ENSG00000109943.8	0	0	0	1	0	0
C11orf63!ENSG00000109944.10	0	0	2	3	3	1
B3GAT1!ENSG00000109956.12	1	0	0	0	0	0
HSPA8!ENSG00000109971.13	101591	85239	67129	69482	78120	101084
P2RX3!ENSG00000109991.8	0	0	1	0	0	0
VWA5A!ENSG00000110002.15	10	7	5	11	8	7
DNAJC4!ENSG00000110011.13	788	740	743	543	647	848
SIAE!ENSG00000110013.12	99	60	54	78	103	89
SNX15!ENSG00000110025.12	39	22	21	32	28	28
LPXN!ENSG00000110031.12	19570	17173	13888	11657	12834	14590
DTX4!ENSG00000110042.7	1057	861	744	957	1061	1183
ATG2A!ENSG00000110046.12	4482	4160	3486	3148	3463	3778
EHD1!ENSG00000110047.17	39094	35837	31720	23396	27158	32342
OSBP!ENSG00000110048.11	8061	6765	5155	6510	7370	7660
UNC93B1!ENSG00000110057.7	1697	1390	1082	1424	1560	1806
PUS3!ENSG00000110060.8	681	532	389	539	544	615
DCPS!ENSG00000110063.8	1322	1197	995	906	1004	1233
SUV420H1!ENSG00000110066.14	2295	1750	1220	1682	1736	1803
FOXRED1!ENSG00000110074.10	1265	1200	868	1066	1154	1283
PPP6R3!ENSG00000110075.14	12087	10164	6724	8240	9049	8475
NRXN2!ENSG00000110076.18	10	3	2	3	2	4
MS4A6A!ENSG00000110077.14	0	0	0	0	0	0
MS4A4A!ENSG00000110079.16	0	1	0	0	0	1
ST3GAL4!ENSG00000110080.18	45	43	43	53	50	77
CPT1A!ENSG00000110090.12	7453	6183	4895	4935	5778	5819
CCND1!ENSG00000110092.3	27	25	25	23	30	17
CCDC86!ENSG00000110104.11	5648	5435	5573	3975	4482	6280
PRPF19!ENSG00000110107.8	18320	16674	12911	12923	14348	17581
TMEM109!ENSG00000110108.9	10299	9288	8201	6615	7577	9422
CCKBR!ENSG00000110148.9	2	2	1	2	2	1
HPX!ENSG00000110169.10	5	2	3	6	0	5
TRIM3!ENSG00000110171.18	153	156	111	164	182	187
CHORDC1!ENSG00000110172.11	5927	4153	2527	4820	5187	4928
FOLR1!ENSG00000110195.11	0	0	0	0	0	0
ANAPC15!ENSG00000110200.8	517	460	353	343	425	477
FOLR3!ENSG00000110203.8	0	0	0	0	0	0
PANX1!ENSG00000110218.8	1109	833	602	883	951	932
ARHGEF17!ENSG00000110237.3	7	4	1	10	7	4
APOA5!ENSG00000110243.11	1	3	1	4	0	1
APOA4!ENSG00000110244.6	1	0	0	0	0	0
APOC3!ENSG00000110245.11	0	0	0	0	0	0
CEP164!ENSG00000110274.14	7449	6578	5153	6001	6405	7558
RNF141!ENSG00000110315.6	770	569	292	682	775	668
CEP126!ENSG00000110318.13	746	633	472	560	656	633
EIF4G2!ENSG00000110321.15	80966	68083	56416	59770	64783	69201
IL10RA!ENSG00000110324.9	14012	11087	8633	9925	10621	11567
GALNT18!ENSG00000110328.5	146	102	77	88	106	116
BIRC2!ENSG00000110330.8	4510	3519	2256	4004	4291	3866
UBE4A!ENSG00000110344.9	16329	13710	9907	11642	12800	12253
DDX6!ENSG00000110367.11	33202	26173	19173	21240	23264	21767
UPK2!ENSG00000110375.2	4	5	2	2	4	6
CBL!ENSG00000110395.5	10479	8384	6784	7800	8959	7714
PVRL1!ENSG00000110400.10	24643	22420	22207	15753	19378	20200
HIPK3!ENSG00000110422.11	4441	3396	2646	3547	3910	3273
KIAA1549L!ENSG00000110427.14	202	177	140	166	216	155
FBXO3!ENSG00000110429.13	1363	1107	645	1137	1252	1092
PDHX!ENSG00000110435.11	2556	2304	1735	2217	2516	2621
SLC1A2!ENSG00000110436.11	35	22	25	8	15	5
COMMD9!ENSG00000110442.11	2399	2095	1683	1695	1824	2330
SLC15A3!ENSG00000110446.9	1752	1649	1467	1542	1748	2135
CD5!ENSG00000110448.10	0	0	0	0	1	0
ACCS!ENSG00000110455.13	52	50	31	49	42	50
SCGB2A2!ENSG00000110484.6	0	0	0	0	0	0
MDK!ENSG00000110492.15	39	63	36	19	35	51
AMBRA1!ENSG00000110497.14	3546	3181	2846	2618	2934	3197
MADD!ENSG00000110514.19	3938	3363	2689	3511	3823	4074
PTPMT1!ENSG00000110536.13	599	563	370	487	564	620
NAA40!ENSG00000110583.12	2646	2389	1777	2180	2375	2441
CARS!ENSG00000110619.16	3501	3069	2290	2932	3307	3584
SLC22A18!ENSG00000110628.13	29	24	20	47	38	43
CD81!ENSG00000110651.11	21833	18712	13906	16112	17755	22236
SLC35F2!ENSG00000110660.14	7112	5689	4258	5860	6229	6539
C11orf21!ENSG00000110665.11	25	41	27	45	40	32
ELMOD1!ENSG00000110675.12	9	9	5	18	18	10
CALCA!ENSG00000110680.12	2	1	5	0	0	1
SOX6!ENSG00000110693.15	17	27	10	17	11	13
C11orf58!ENSG00000110696.9	7491	5703	3491	5732	5991	5978
PITPNM1!ENSG00000110697.12	3741	3335	2946	2951	3465	4041
RPS13!ENSG00000110700.6	16134	12274	7662	13530	14612	15819
AIP!ENSG00000110711.9	4827	4333	3412	3609	4014	4888
NUP98!ENSG00000110713.15	22145	18979	16194	16066	17936	18525
NDUFS8!ENSG00000110717.10	4706	4401	4215	3221	3679	5358
TCIRG1!ENSG00000110719.9	2491	2354	1787	2420	2550	2634
CHKA!ENSG00000110721.11	3203	2661	1740	3413	3675	3807
EXPH5!ENSG00000110723.11	39	27	23	41	59	27
HPS5!ENSG00000110756.17	4564	3420	2350	3512	3698	3258
GTF2H1!ENSG00000110768.11	5680	4481	3397	3823	4190	4512
POU2AF1!ENSG00000110777.11	60889	57285	55963	36863	41163	47928
PTPN5!ENSG00000110786.17	2	2	5	3	1	1
VWF!ENSG00000110799.13	2	1	0	2	1	0
PSMD9!ENSG00000110801.13	859	723	516	652	724	860
P3H3!ENSG00000110811.19	79	89	76	110	102	124
PPFIBP1!ENSG00000110841.13	647	504	344	463	608	518
PRPF40B!ENSG00000110844.13	176	176	151	113	129	132
CD69!ENSG00000110848.8	709	430	193	162	165	154
PRDM4!ENSG00000110851.11	2873	2454	1875	2026	2234	2319
CLEC2B!ENSG00000110852.4	168	146	99	130	125	169
COQ5!ENSG00000110871.14	1493	1160	823	1118	1230	1368
SELPLG!ENSG00000110876.9	123	107	102	53	66	77
CORO1C!ENSG00000110880.10	6138	4807	3500	4369	5142	4540
ASIC1!ENSG00000110881.11	53	53	37	58	62	83
DAO!ENSG00000110887.7	0	0	1	1	1	0
CAPRIN2!ENSG00000110888.17	528	483	350	594	607	571
TSPAN11!ENSG00000110900.14	33	39	23	21	35	14
KCTD10!ENSG00000110906.12	5701	4889	4005	3935	4538	4847
SLC11A2!ENSG00000110911.14	1230	1014	588	945	1026	958
MLEC!ENSG00000110917.7	17360	13957	10841	13307	15363	15812
MVK!ENSG00000110921.11	2019	2162	1539	2424	2739	3008
CSRNP2!ENSG00000110925.6	1185	1080	804	894	1021	1073
CAMKK2!ENSG00000110931.18	3667	3170	2567	3172	3501	3807
BIN2!ENSG00000110934.10	757	659	583	654	730	781
IL23A!ENSG00000110944.8	59	61	35	53	38	59
ATP5B!ENSG00000110955.8	48517	38418	24844	39409	43383	47108
PTGES3!ENSG00000110958.15	19523	14961	9773	13845	15335	15678
SYT10!ENSG00000110975.8	0	0	0	0	0	0
BCL7A!ENSG00000110987.8	9872	9077	7583	7457	8633	8949
RSRC2!ENSG00000111011.17	6377	5304	4027	4491	4966	5295
CYP27B1!ENSG00000111012.9	161	147	127	139	170	140
MYF6!ENSG00000111046.3	0	0	0	2	0	1
MYF5!ENSG00000111049.3	0	0	0	0	0	0
LIN7A!ENSG00000111052.7	84	75	40	72	68	44
KRT18!ENSG00000111057.10	0	0	0	1	0	0
ACSS3!ENSG00000111058.7	1	0	0	0	0	0
TNS2!ENSG00000111077.17	23	23	29	19	26	20
GLI1!ENSG00000111087.9	76	65	65	92	113	107
PPM1H!ENSG00000111110.11	18	14	16	14	10	19
METAP2!ENSG00000111142.13	24168	19453	12879	26470	28782	29403
LTA4H!ENSG00000111144.9	6481	5538	3788	5003	5716	6184
ELK3!ENSG00000111145.7	1110	1066	935	702	869	726
SLC6A12!ENSG00000111181.12	14	10	17	21	18	19
WNT5B!ENSG00000111186.12	198	175	102	171	227	238
MAGOHB!ENSG00000111196.9	1869	1426	837	1422	1427	1620
TRPV4!ENSG00000111199.10	0	0	0	0	0	0
ITFG2!ENSG00000111203.11	1289	1199	927	919	967	1208
FOXM1!ENSG00000111206.12	8939	8254	7988	6100	6648	8545
PRR4!ENSG00000111215.11	14	15	10	12	16	18
PRMT8!ENSG00000111218.11	0	0	0	0	1	0
PARP11!ENSG00000111224.13	682	529	380	566	648	554
ARPC3!ENSG00000111229.15	4526	3511	2310	3007	3114	3067
GPN3!ENSG00000111231.8	2901	2153	1292	2560	2929	2703
VPS29!ENSG00000111237.18	4095	3425	2386	3273	3540	4125
FGF6!ENSG00000111241.2	1	0	0	0	1	0
MYL2!ENSG00000111245.14	221	209	180	149	174	183
RAD51AP1!ENSG00000111247.14	1824	1358	879	1226	1381	1184
CUX2!ENSG00000111249.13	1438	1344	1210	820	946	927
SH2B3!ENSG00000111252.10	4110	3671	3103	4352	4996	5006
AKAP3!ENSG00000111254.7	23	14	18	17	11	13
MANSC1!ENSG00000111261.13	7	5	5	7	3	4
KCNA1!ENSG00000111262.4	0	0	1	0	0	0
DUSP16!ENSG00000111266.8	431	357	339	376	462	379
CREBL2!ENSG00000111269.2	1000	739	419	713	823	712
ACAD10!ENSG00000111271.14	979	841	603	736	825	869
ALDH2!ENSG00000111275.12	3396	2911	2069	3247	3812	4002
CDKN1B!ENSG00000111276.10	2558	2294	1525	1810	1901	2004
GPRC5D!ENSG00000111291.8	9	9	7	13	11	22
NAA25!ENSG00000111300.9	6682	5149	3302	4894	5476	5027
GSG1!ENSG00000111305.18	1	2	0	0	0	0
SCNN1A!ENSG00000111319.12	31	34	24	15	19	25
LTBR!ENSG00000111321.10	1	1	0	1	1	1
OGFOD2!ENSG00000111325.16	103	98	54	71	83	97
CDK2AP1!ENSG00000111328.6	1741	1391	1044	1566	1689	1834
OAS3!ENSG00000111331.12	2054	1969	1567	1361	1594	1421
OAS2!ENSG00000111335.12	1102	919	845	898	1010	943
ART4!ENSG00000111339.10	2	1	1	1	0	0
MGP!ENSG00000111341.9	2	5	3	1	2	4
RASAL1!ENSG00000111344.11	3039	2585	1901	2003	2127	2236
ARHGDIB!ENSG00000111348.8	38316	35995	33816	24575	29193	36141
GTF2H3!ENSG00000111358.13	2593	1980	1326	2234	2461	2367
EIF2B1!ENSG00000111361.12	4291	3759	2757	3243	3416	3914
DDX55!ENSG00000111364.15	3527	3115	2184	2736	2901	3344
SLC38A1!ENSG00000111371.15	40235	32578	23828	31278	34857	29937
RERGL!ENSG00000111404.6	0	0	1	1	1	0
ENDOU!ENSG00000111405.8	229	187	146	264	238	325
C12orf49!ENSG00000111412.5	6318	5262	3517	4465	5335	5040
VDR!ENSG00000111424.10	2044	1817	1692	1257	1519	1519
FZD10!ENSG00000111432.4	0	0	0	0	0	0
RFC5!ENSG00000111445.13	2901	2553	1811	2033	2343	2457
STX2!ENSG00000111450.13	936	787	526	895	970	888
ADGRD1!ENSG00000111452.12	580	552	417	370	430	425
COPZ1!ENSG00000111481.9	9945	8494	6556	6726	7825	8597
TBC1D30!ENSG00000111490.12	84	56	39	66	73	56
CAND1!ENSG00000111530.12	18739	13938	8812	14520	15950	13613
IL26!ENSG00000111536.4	6	6	5	2	10	1
IFNG!ENSG00000111537.4	5	10	5	5	8	5
RAB5B!ENSG00000111540.15	6045	5606	4762	4697	5565	6068
MDM1!ENSG00000111554.14	1341	1061	869	1140	1087	1095
NUP107!ENSG00000111581.9	6294	4621	2832	4928	5071	5056
CNOT2!ENSG00000111596.11	8707	7612	5464	6441	6938	7690
TIMELESS!ENSG00000111602.11	12526	10036	7523	9051	10133	10350
CPSF6!ENSG00000111605.16	11707	9986	7802	8621	9500	10191
KRR1!ENSG00000111615.12	5356	4478	3248	4010	4187	4251
MRPL51!ENSG00000111639.7	5260	4167	2783	4626	4950	6423
GAPDH!ENSG00000111640.14	115409	102723	91944	87942	99750	122493
NOP2!ENSG00000111641.10	12845	11716	9649	8780	9530	11928
CHD4!ENSG00000111642.14	35107	29016	23874	25633	28795	30521
ACRBP!ENSG00000111644.7	32	26	37	27	45	41
UHRF1BP1L!ENSG00000111647.12	5509	4381	3182	4011	4645	3869
COPS7A!ENSG00000111652.9	2626	2280	1972	1557	1681	2060
ING4!ENSG00000111653.19	761	587	414	489	560	627
GNB3!ENSG00000111664.10	1943	1682	1480	1656	1693	2439
CDCA3!ENSG00000111665.11	2812	2481	1884	2181	2187	2821
CHPT1!ENSG00000111666.10	563	405	232	489	568	495
USP5!ENSG00000111667.13	8384	7420	5866	6145	6981	8270
TPI1!ENSG00000111669.14	19191	16277	13057	15232	17377	19813
GNPTAB!ENSG00000111670.14	9836	7709	5622	5779	6271	5831
SPSB2!ENSG00000111671.9	332	361	266	247	318	331
ENO2!ENSG00000111674.8	5440	4597	3337	4441	4971	5439
ATN1!ENSG00000111676.14	9026	8679	10052	6657	7150	10526
C12orf57!ENSG00000111678.10	1719	1422	1075	1110	1395	1681
PTPN6!ENSG00000111679.16	3212	2528	2077	3556	4230	4632
LPCAT3!ENSG00000111684.10	571	474	374	960	993	1005
NT5DC3!ENSG00000111696.11	868	726	556	700	749	716
SLCO1B3!ENSG00000111700.12	0	0	0	0	0	0
APOBEC1!ENSG00000111701.6	0	3	0	1	1	0
NANOG!ENSG00000111704.10	0	0	0	0	0	0
SUDS3!ENSG00000111707.11	4388	3434	2405	3472	3826	3988
GOLT1B!ENSG00000111711.9	2239	1639	757	1643	1840	1518
GYS2!ENSG00000111713.2	6	9	6	11	7	7
LDHB!ENSG00000111716.12	43941	33161	21447	37984	41779	40893
PRKAB1!ENSG00000111725.10	2979	2631	2346	2200	2403	2575
CMAS!ENSG00000111726.12	2458	1731	1050	2010	2177	1914
HCFC2!ENSG00000111727.11	859	665	491	579	699	650
ST8SIA1!ENSG00000111728.10	3	2	2	1	0	4
CLEC4A!ENSG00000111729.12	8	10	4	11	10	9
C2CD5!ENSG00000111731.12	3291	2661	1643	2452	2644	2398
AICDA!ENSG00000111732.10	744	653	502	1174	1450	1416
RAB35!ENSG00000111737.11	7240	6673	5938	5061	5706	6883
PHC1!ENSG00000111752.10	224	203	198	185	208	248
COX6A1!ENSG00000111775.2	2106	1720	1238	1720	1930	2107
AL021546.6!ENSG00000111780.8	0	0	0	0	0	0
RFX4!ENSG00000111783.12	2	1	0	1	0	0
RIC8B!ENSG00000111785.18	916	744	538	760	853	769
SRSF9!ENSG00000111786.8	4981	4077	2869	4211	4346	4825
FGFR1OP2!ENSG00000111790.13	2976	2246	1219	2196	2422	2072
KLRB1!ENSG00000111796.3	11	5	4	9	10	3
COL12A1!ENSG00000111799.20	4	0	0	3	1	2
BTN3A3!ENSG00000111801.15	439	412	340	416	440	496
TDP2!ENSG00000111802.13	5013	4050	2526	3868	4090	4303
FRK!ENSG00000111816.7	1089	877	537	666	807	607
DSE!ENSG00000111817.16	90	90	56	75	69	71
RWDD1!ENSG00000111832.12	2816	2355	1921	2125	2322	2816
RSPH4A!ENSG00000111834.12	19	23	16	20	34	22
MAK!ENSG00000111837.11	29	26	21	31	25	23
TMEM14C!ENSG00000111843.13	1565	1077	683	1223	1325	1218
PAK1IP1!ENSG00000111845.4	2732	2134	1404	2297	2443	2520
GCNT2!ENSG00000111846.15	2593	2299	1568	1906	2184	1974
SMIM8!ENSG00000111850.10	455	380	225	389	377	385
NEDD9!ENSG00000111859.16	2504	2257	1833	1874	2306	2040
CEP85L!ENSG00000111860.13	484	395	221	502	529	471
ADTRP!ENSG00000111863.12	45	33	15	47	52	39
ASF1A!ENSG00000111875.7	3350	2314	1462	3001	3057	2955
MCM9!ENSG00000111877.17	1855	1523	1067	1770	1890	1849
FAM184A!ENSG00000111879.18	1159	1021	722	1759	1952	1720
RNGTT!ENSG00000111880.15	4683	3721	2390	3229	3733	3475
MAN1A1!ENSG00000111885.6	3019	2366	1309	2939	3291	2566
GABRR2!ENSG00000111886.10	61	55	32	62	55	35
SERINC1!ENSG00000111897.6	3659	2697	1973	2978	3157	2870
HDDC2!ENSG00000111906.17	3273	2590	1870	2803	2967	3476
TPD52L1!ENSG00000111907.20	266	240	150	216	231	226
HINT3!ENSG00000111911.6	910	669	339	739	821	750
NCOA7!ENSG00000111912.19	4316	3373	2360	3236	3454	3274
FAM65B!ENSG00000111913.15	4270	3488	2534	4404	4936	4255
SASH1!ENSG00000111961.16	6	9	3	4	9	4
UST!ENSG00000111962.7	0	2	0	2	0	0
ULBP1!ENSG00000111981.4	45	33	35	52	60	44
FBXO5!ENSG00000112029.9	1952	1554	1108	1534	1753	1695
MTRF1L!ENSG00000112031.15	381	314	208	322	357	353
PPARD!ENSG00000112033.13	1407	1246	1147	1001	1095	1341
OPRM1!ENSG00000112038.17	0	0	0	0	0	0
FANCE!ENSG00000112039.3	1078	954	779	812	854	1006
TULP1!ENSG00000112041.12	0	0	2	2	2	0
SLC26A8!ENSG00000112053.13	2	4	3	1	3	2
MAPK14!ENSG00000112062.10	4031	3346	2080	3381	3806	3640
RHAG!ENSG00000112077.15	0	0	0	0	0	0
KCTD20!ENSG00000112078.13	16253	12620	8916	11473	12843	12131
STK38!ENSG00000112079.8	3603	3035	2210	2877	3100	3386
SRSF3!ENSG00000112081.16	23785	19284	11444	17683	19108	20799
SOD2!ENSG00000112096.16	4330	3544	2218	3579	3978	4298
MRPL18!ENSG00000112110.9	3058	2375	1818	2180	2369	2739
IL17A!ENSG00000112115.5	0	0	0	0	0	0
IL17F!ENSG00000112116.9	0	0	0	0	0	1
MCM3!ENSG00000112118.17	26734	22261	15761	18827	20668	22086
RNF8!ENSG00000112130.16	2597	1929	1399	2305	2398	2399
PHACTR1!ENSG00000112137.16	2433	2177	1869	2215	2429	2337
MDGA1!ENSG00000112139.14	7	7	5	13	11	10
ICK!ENSG00000112144.15	920	762	649	532	575	559
FBXO9!ENSG00000112146.16	3656	2954	1853	2712	3021	2901
CD83!ENSG00000112149.9	9962	8685	6601	6575	7674	7608
MDN1!ENSG00000112159.11	11690	9150	8500	8209	9590	8439
GLP1R!ENSG00000112164.5	0	0	0	0	0	0
SAYSD1!ENSG00000112167.9	617	473	322	468	513	577
BMP5!ENSG00000112175.7	0	0	0	0	0	0
BACH2!ENSG00000112182.14	2571	2401	2033	1718	2010	1775
RBM24!ENSG00000112183.14	0	0	0	0	0	0
CAP2!ENSG00000112186.11	1	0	0	0	0	0
TREML2!ENSG00000112195.8	127	124	92	222	219	218
ZNF451!ENSG00000112200.16	4083	3090	1980	3323	3593	2864
BAG2!ENSG00000112208.11	4380	3542	2700	3221	3387	3725
RAB23!ENSG00000112210.11	501	459	256	424	455	371
TSPO2!ENSG00000112212.11	5	5	4	5	3	6
FHL5!ENSG00000112214.10	0	0	0	0	1	0
GPR63!ENSG00000112218.8	29	39	18	47	41	54
KHDRBS2!ENSG00000112232.8	505	419	285	370	449	383
FBXL4!ENSG00000112234.8	1278	993	639	1036	1136	952
CCNC!ENSG00000112237.12	5408	3926	1728	4891	5314	4402
PRDM13!ENSG00000112238.11	54	58	42	42	68	66
E2F3!ENSG00000112242.14	2778	2379	1797	2329	2385	2378
PTP4A1!ENSG00000112245.9	9923	8194	5616	7431	8395	7818
SIM1!ENSG00000112246.9	17	10	3	5	4	3
ASCC3!ENSG00000112249.13	4414	3507	2523	3828	4199	3996
HDGFL1!ENSG00000112273.6	0	0	0	0	0	0
BVES!ENSG00000112276.13	0	0	0	1	1	1
COL9A1!ENSG00000112280.15	0	1	0	0	0	0
MED23!ENSG00000112282.17	2959	2505	1659	2031	2267	2107
WASF1!ENSG00000112290.12	2195	1883	1770	2235	2371	2454
GPLD1!ENSG00000112293.14	1319	1075	857	880	1003	860
ALDH5A1!ENSG00000112294.12	34896	29232	19591	18654	21035	20610
AIM1!ENSG00000112297.14	7663	6118	4702	7403	8295	7703
VNN1!ENSG00000112299.7	24	15	11	25	37	22
VNN2!ENSG00000112303.13	3191	2516	1718	3495	3722	4144
ACOT13!ENSG00000112304.10	1071	815	657	738	811	941
SMAP1!ENSG00000112305.14	888	768	569	607	716	754
RPS12!ENSG00000112306.7	10824	8101	5246	11431	12293	14494
C6orf62!ENSG00000112308.12	12723	10888	7727	10265	11292	11084
B3GAT2!ENSG00000112309.10	39	34	18	28	23	29
GMNN!ENSG00000112312.9	5278	4326	3016	3625	4220	4054
EYA4!ENSG00000112319.17	1	0	2	0	0	0
SOBP!ENSG00000112320.11	2034	1841	1805	1421	1602	1835
NR2E1!ENSG00000112333.11	0	0	0	0	0	0
SNX3!ENSG00000112335.14	4266	3243	2257	3591	4194	4796
SLC17A2!ENSG00000112337.10	1	0	0	0	0	0
HBS1L!ENSG00000112339.14	5318	4112	2979	4700	5128	5381
TRIM38!ENSG00000112343.10	3049	2621	2142	2499	2737	2842
PEX7!ENSG00000112357.12	103	81	76	69	97	81
ZBTB24!ENSG00000112365.4	2046	1725	1307	1629	1864	1794
FIG4!ENSG00000112367.10	1104	988	597	1186	1315	1291
PERP!ENSG00000112378.11	772	526	375	628	687	633
ARFGEF3!ENSG00000112379.8	2	0	0	0	0	1
SLC16A10!ENSG00000112394.16	117	99	47	91	119	86
HECA!ENSG00000112406.4	2725	2168	1475	2908	3304	2995
ADGRG6!ENSG00000112414.14	0	0	0	0	0	0
PHACTR2!ENSG00000112419.14	216	181	124	152	209	144
EPM2A!ENSG00000112425.13	561	490	321	554	553	546
OR12D3!ENSG00000112462.8	0	0	0	0	0	0
SLC39A7!ENSG00000112473.16	5335	4541	3632	3853	4151	4764
CCR6!ENSG00000112486.14	0	0	0	0	0	0
UNC93A!ENSG00000112494.9	1	0	1	0	0	0
SLC22A2!ENSG00000112499.12	0	0	0	0	0	0
PHF1!ENSG00000112511.17	932	845	743	810	924	1055
CUTA!ENSG00000112514.15	6555	5720	4241	4523	5291	6632
PACRG!ENSG00000112530.11	0	0	1	0	0	0
QKI!ENSG00000112531.16	6107	4961	3437	6007	6368	6190
C6orf118!ENSG00000112539.14	0	0	0	0	0	0
PDE10A!ENSG00000112541.13	3	1	2	0	0	0
MDFI!ENSG00000112559.13	0	1	1	0	0	0
TFEB!ENSG00000112561.17	4702	4165	3566	3087	3422	4388
SMOC2!ENSG00000112562.18	0	0	0	0	0	0
CCND3!ENSG00000112576.12	11336	9714	8331	12059	13810	16110
BYSL!ENSG00000112578.9	3324	2798	1997	2465	2626	2925
FAM120B!ENSG00000112584.13	1995	1771	1282	1678	1841	1990
TBP!ENSG00000112592.12	1296	1085	1006	945	1070	1235
GUCA1B!ENSG00000112599.8	48	46	48	51	49	49
PRPH2!ENSG00000112619.7	4	3	2	1	4	2
GLTSCR1L!ENSG00000112624.12	5033	4173	3228	4182	4646	4437
PPP2R5D!ENSG00000112640.14	7074	6152	4999	5023	5578	6574
MRPL2!ENSG00000112651.11	2289	2099	1911	1762	1943	2567
PTK7!ENSG00000112655.15	145	112	91	152	158	164
SRF!ENSG00000112658.7	5829	5840	5389	4543	5316	6545
CUL9!ENSG00000112659.13	1684	1492	1121	1401	1480	1450
DNPH1!ENSG00000112667.12	1494	1349	1112	1238	1338	1586
DUSP22!ENSG00000112679.14	3798	3321	2210	2283	2515	2457
EXOC2!ENSG00000112685.13	3679	2841	1956	2624	3033	2988
COX7A2!ENSG00000112695.11	4013	3152	2208	3053	3466	3872
TMEM30A!ENSG00000112697.15	5925	4046	2296	4505	4834	3868
GMDS!ENSG00000112699.10	5429	5055	3981	2927	3403	4094
SENP6!ENSG00000112701.17	7158	6027	3850	5914	6447	5670
IMPG1!ENSG00000112706.11	33	26	3	23	34	17
VEGFA!ENSG00000112715.20	356	291	247	412	454	477
PRPF4B!ENSG00000112739.16	9281	7437	5190	7267	7977	7492
TTK!ENSG00000112742.9	5617	4360	2876	4769	5148	4935
SLC29A1!ENSG00000112759.16	5231	5135	4176	4388	4978	5826
WISP3!ENSG00000112761.18	4	5	3	9	2	2
BTN2A1!ENSG00000112763.15	945	769	618	766	829	885
LAMA4!ENSG00000112769.18	0	0	2	1	1	1
FAM46A!ENSG00000112773.15	4	5	3	3	1	0
CLIC5!ENSG00000112782.15	7	3	2	3	9	8
FBRSL1!ENSG00000112787.12	5746	5626	5354	4154	4663	5974
ENPP5!ENSG00000112796.9	317	264	202	215	266	253
